"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","14","5","37"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","15","4","23"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","49","15","109"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","39","13","47"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","58","24","162"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","44","13","71"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","1","1","11"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","14","7","61"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","30","10","77"
"04-02","","24","5410","3051","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","39","9","101"
"04-02","","24","5410","3051","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","388","124","896"
"04-02","","24","5410","3051","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","41","19","172"
"04-02","","24","5410","3051","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","213","67","381"
"04-02","","24","5410","3051","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","70","31","178"
"04-02","","24","5410","3051","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","43","10","110"
"04-02","","24","5410","3051","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","55","15","132"
"04-02","","24","5410","3051","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","105","24","183"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","13","10","41"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","22","14","75"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","40","14","87"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","37","16","131"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","61","25","143"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","81","19","211"
"04-02","","24","5410","3051","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","154","44","330"
"04-02","","24","5410","3051","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","341","133","699"
"04-02","","24","5410","3051","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","568","156","1105"
"04-02","","24","5410","3051","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","326","106","712"
"04-02","","24","5410","3051","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","500","161","904"
"04-02","","24","5410","3051","1","61","Councilmember, Dist 4","","143","BLAS, Fred","","C","443","145","792"
"04-02","","24","5410","3051","1","61","Councilmember, Dist 4","","144","ILAGAN, Greggor","","C","448","139","1000"
"04-02","","24","5410","3051","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","375","140","1027"
"04-02","","24","5410","3051","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","454","117","623"
"04-02","","24","5410","3051","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","483","147","904"
"04-02","","24","5410","3051","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","352","115","749"
"04-02","","24","5410","3051","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","560","196","1159"
"04-02","","24","5410","3051","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","256","57","461"
"04-02","","24","5410","3051","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","499","169","1067"
"04-02","","24","5410","3051","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","337","96","549"
"04-02","","24","5410","3051","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","502","176","1102"
"04-02","","24","5410","3051","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","330","86","516"
"04-02","","24","5410","3051","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","254","75","489"
"04-02","","24","5410","3051","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","579","182","1157"
"04-02","","24","5410","3051","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","632","171","1112"
"04-02","","24","5410","3051","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","184","83","465"
"04-02","","24","5410","3051","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","496","181","1111"
"04-02","","24","5410","3051","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","349","83","551"
"04-03","","25","3186","1701","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","81","34","155"
"04-03","","25","3186","1701","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","23","9","32"
"04-03","","25","3186","1701","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","10","3","27"
"04-03","","25","3186","1701","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","379","187","749"
"04-03","","25","3186","1701","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","381","191","741"
"04-03","","25","3186","1701","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","102","42","216"
"04-03","","25","3186","1701","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","69","27","128"
"04-03","","25","3186","1701","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","406","207","806"
"04-03","","25","3186","1701","1","5","State Senator, Dist 2","","11","(D) RUDERMAN, Russell E.","DEM","C","368","183","722"
"04-03","","25","3186","1701","1","5","State Senator, Dist 2","","12","(R) SMITH, Daryl Lee","REP","C","90","41","177"
"04-03","","25","3186","1701","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","182","81","334"
"04-03","","25","3186","1701","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","70","31","204"
"04-03","","25","3186","1701","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","45","31","100"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","62","38","149"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","5","5","15"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","8","2","10"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","27","13","55"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","27","4","27"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","22","17","66"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","28","4","38"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","2","1","3"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","9","8","33"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","16","4","41"
"04-03","","25","3186","1701","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","13","9","42"
"04-03","","25","3186","1701","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","201","96","410"
"04-03","","25","3186","1701","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","31","16","83"
"04-03","","25","3186","1701","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","121","60","170"
"04-03","","25","3186","1701","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","44","17","102"
"04-03","","25","3186","1701","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","16","6","39"
"04-03","","25","3186","1701","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","25","14","56"
"04-03","","25","3186","1701","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","51","21","100"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","14","1","18"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","15","5","32"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","27","6","37"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","24","7","67"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","32","11","80"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","40","40","97"
"04-03","","25","3186","1701","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","73","42","142"
"04-03","","25","3186","1701","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","186","73","371"
"04-03","","25","3186","1701","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","294","160","583"
"04-03","","25","3186","1701","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","177","80","333"
"04-03","","25","3186","1701","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","263","128","506"
"04-03","","25","3186","1701","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","228","110","505"
"04-03","","25","3186","1701","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","214","100","356"
"04-03","","25","3186","1701","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","246","123","464"
"04-03","","25","3186","1701","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","200","96","398"
"04-03","","25","3186","1701","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","305","128","599"
"04-03","","25","3186","1701","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","131","73","241"
"04-03","","25","3186","1701","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","300","131","559"
"04-03","","25","3186","1701","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","150","83","297"
"04-03","","25","3186","1701","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","301","134","582"
"04-03","","25","3186","1701","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","151","78","268"
"04-03","","25","3186","1701","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","120","66","236"
"04-03","","25","3186","1701","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","324","140","615"
"04-03","","25","3186","1701","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","342","147","568"
"04-03","","25","3186","1701","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","98","53","248"
"04-03","","25","3186","1701","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","291","134","605"
"04-03","","25","3186","1701","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","160","82","264"
"05-01","","26","1359","809","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","61","13","111"
"05-01","","26","1359","809","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","5","1","3"
"05-01","","26","1359","809","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","4","0","4"
"05-01","","26","1359","809","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","235","22","349"
"05-01","","26","1359","809","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","226","22","330"
"05-01","","26","1359","809","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","74","13","129"
"05-01","","26","1359","809","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","48","11","85"
"05-01","","26","1359","809","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","247","22","356"
"05-01","","26","1359","809","1","6","State Senator, Dist 3","","13","(D) GREEN, Josh","DEM","C","255","23","364"
"05-01","","26","1359","809","1","6","State Senator, Dist 3","","14","(R) LAFRANCE, Jeff R.","REP","C","34","10","77"
"05-01","","26","1359","809","1","22","State Representative, Dist 5","","46","(R) BATEMAN, Dave","REP","C","57","12","120"
"05-01","","26","1359","809","1","22","State Representative, Dist 5","","47","(D) COFFMAN, Denny","DEM","C","223","20","304"
"05-01","","26","1359","809","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","129","11","183"
"05-01","","26","1359","809","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","32","8","68"
"05-01","","26","1359","809","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","38","2","71"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","41","5","92"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","5","1","4"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","16","0","7"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","10","3","22"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","12","1","23"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","20","1","32"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","15","2","16"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","0","0","1"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","4","1","19"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","13","0","9"
"05-01","","26","1359","809","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","13","2","27"
"05-01","","26","1359","809","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","142","13","218"
"05-01","","26","1359","809","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","23","5","54"
"05-01","","26","1359","809","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","90","7","95"
"05-01","","26","1359","809","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","18","3","31"
"05-01","","26","1359","809","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","10","2","26"
"05-01","","26","1359","809","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","12","2","25"
"05-01","","26","1359","809","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","30","2","42"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","8","4","11"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","7","3","17"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","14","0","15"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","30","4","51"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","24","1","43"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","27","3","41"
"05-01","","26","1359","809","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","35","3","71"
"05-01","","26","1359","809","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","162","15","204"
"05-01","","26","1359","809","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","139","20","248"
"05-01","","26","1359","809","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","139","12","206"
"05-01","","26","1359","809","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","135","19","203"
"05-01","","26","1359","809","1","62","Councilmember, Dist 6","","145","DAVID, Maile (Medeiros)","","C","169","16","242"
"05-01","","26","1359","809","1","62","Councilmember, Dist 6","","146","FORD, Brenda","","C","129","16","188"
"05-01","","26","1359","809","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","113","14","238"
"05-01","","26","1359","809","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","167","14","170"
"05-01","","26","1359","809","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","141","10","223"
"05-01","","26","1359","809","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","143","18","188"
"05-01","","26","1359","809","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","195","24","288"
"05-01","","26","1359","809","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","82","8","112"
"05-01","","26","1359","809","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","156","21","283"
"05-01","","26","1359","809","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","123","13","127"
"05-01","","26","1359","809","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","150","19","271"
"05-01","","26","1359","809","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","128","14","132"
"05-01","","26","1359","809","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","71","12","133"
"05-01","","26","1359","809","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","206","21","272"
"05-01","","26","1359","809","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","204","24","270"
"05-01","","26","1359","809","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","66","8","118"
"05-01","","26","1359","809","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","148","19","271"
"05-01","","26","1359","809","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","128","14","141"
"05-02","","27","1864","1057","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","97","15","198"
"05-02","","27","1864","1057","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","3","0","8"
"05-02","","27","1864","1057","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","3","0","23"
"05-02","","27","1864","1057","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","231","43","425"
"05-02","","27","1864","1057","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","220","38","415"
"05-02","","27","1864","1057","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","114","20","236"
"05-02","","27","1864","1057","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","71","11","159"
"05-02","","27","1864","1057","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","245","47","473"
"05-02","","27","1864","1057","1","6","State Senator, Dist 3","","13","(D) GREEN, Josh","DEM","C","244","46","470"
"05-02","","27","1864","1057","1","6","State Senator, Dist 3","","14","(R) LAFRANCE, Jeff R.","REP","C","71","12","164"
"05-02","","27","1864","1057","1","22","State Representative, Dist 5","","46","(R) BATEMAN, Dave","REP","C","89","17","212"
"05-02","","27","1864","1057","1","22","State Representative, Dist 5","","47","(D) COFFMAN, Denny","DEM","C","220","40","403"
"05-02","","27","1864","1057","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","111","18","266"
"05-02","","27","1864","1057","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","53","18","117"
"05-02","","27","1864","1057","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","36","7","76"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","30","6","76"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","5","0","9"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","4","2","8"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","23","4","58"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","13","1","16"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","22","9","53"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","21","1","35"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","1","0","3"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","11","2","27"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","23","1","30"
"05-02","","27","1864","1057","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","2","4","34"
"05-02","","27","1864","1057","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","140","26","312"
"05-02","","27","1864","1057","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","25","6","71"
"05-02","","27","1864","1057","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","63","12","108"
"05-02","","27","1864","1057","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","20","6","69"
"05-02","","27","1864","1057","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","18","6","54"
"05-02","","27","1864","1057","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","14","3","31"
"05-02","","27","1864","1057","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","49","4","65"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","9","3","9"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","12","1","30"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","30","2","35"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","23","4","63"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","22","4","34"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","23","6","73"
"05-02","","27","1864","1057","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","33","8","111"
"05-02","","27","1864","1057","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","141","33","264"
"05-02","","27","1864","1057","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","184","25","377"
"05-02","","27","1864","1057","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","103","18","232"
"05-02","","27","1864","1057","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","177","32","328"
"05-02","","27","1864","1057","1","62","Councilmember, Dist 6","","145","DAVID, Maile (Medeiros)","","C","98","23","266"
"05-02","","27","1864","1057","1","62","Councilmember, Dist 6","","146","FORD, Brenda","","C","207","33","343"
"05-02","","27","1864","1057","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","150","31","322"
"05-02","","27","1864","1057","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","155","25","265"
"05-02","","27","1864","1057","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","170","26","288"
"05-02","","27","1864","1057","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","141","30","301"
"05-02","","27","1864","1057","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","188","37","368"
"05-02","","27","1864","1057","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","109","19","214"
"05-02","","27","1864","1057","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","204","41","399"
"05-02","","27","1864","1057","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","100","15","195"
"05-02","","27","1864","1057","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","206","42","390"
"05-02","","27","1864","1057","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","104","14","193"
"05-02","","27","1864","1057","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","89","22","157"
"05-02","","27","1864","1057","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","215","32","427"
"05-02","","27","1864","1057","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","234","38","384"
"05-02","","27","1864","1057","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","66","17","180"
"05-02","","27","1864","1057","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","180","45","384"
"05-02","","27","1864","1057","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","134","12","210"
"05-03","","28","547","322","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","20","4","33"
"05-03","","28","547","322","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","0","0","4"
"05-03","","28","547","322","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","0","0","4"
"05-03","","28","547","322","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","90","20","146"
"05-03","","28","547","322","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","75","19","144"
"05-03","","28","547","322","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","33","4","42"
"05-03","","28","547","322","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","16","3","25"
